epoch;accuracy;loss;val_accuracy;val_loss
0;0.3256799876689911;2.62526535987854;0.012857142835855484;6.436041831970215
1;0.34804001450538635;2.5262610912323;0.009142857044935226;15.84585952758789
2;0.36706000566482544;2.4327003955841064;0.009714285843074322;10.616300582885742
3;0.3800399899482727;2.3657078742980957;0.020571429282426834;7.164875507354736
4;0.39169999957084656;2.301518201828003;0.017571428790688515;6.337214469909668
5;0.4016000032424927;2.254795551300049;0.010714286006987095;123.74024963378906
6;0.41481998562812805;2.1985185146331787;0.015428571030497551;8.100964546203613
7;0.42344000935554504;2.151928186416626;0.01042857114225626;8.117436408996582
8;0.4312799870967865;2.1155760288238525;0.013571428135037422;8.62862491607666
9;0.43810001015663147;2.0861880779266357;0.008714285679161549;8.820902824401855
10;0.4453999996185303;2.05096697807312;0.010999999940395355;12.612861633300781
11;0.45451998710632324;2.0127933025360107;0.00985714327543974;85.91139221191406
12;0.46094000339508057;1.9880331754684448;0.009285714477300644;11.288968086242676
13;0.47016000747680664;1.9536736011505127;0.01342857163399458;5.379732608795166
14;0.47398000955581665;1.9299113750457764;0.012857142835855484;5.640087604522705
15;0.478520005941391;1.9057542085647583;0.015571428462862968;8.133050918579102
16;0.48339998722076416;1.8863240480422974;0.013571428135037422;5.814734935760498
17;0.4907599985599518;1.864758014678955;0.011714286170899868;345.1649169921875
18;0.4966599941253662;1.8464925289154053;0.012857142835855484;7.296809673309326
