Data_Type,Sample_Size,Iteration,MAPE,RMSE,Causal_Effect,Method
data1,50,1,91.73313915196076,7.559427962446916,0.57109016,CFNN
data1,50,2,78.21010669302756,5.732517538520948,0.9708905,CFNN
data1,50,3,102.02323287889948,7.953526142108046,0.2177126,CFNN
data1,50,4,72.82684490220308,7.382049649990835,0.50061494,CFNN
data1,50,5,96.53899564851851,7.121534059507754,0.6919067,CFNN
data1,50,6,88.96365654845386,5.727500950377387,0.8361897,CFNN
data1,50,7,106.08425172238489,6.08735166626791,0.65462977,CFNN
data1,50,8,71.05349292250838,5.892554866058734,0.4891618,CFNN
data1,50,9,76.92150937648485,6.8616615972347335,0.45116913,CFNN
data1,50,10,89.11965123122211,6.039921408660881,0.3645641,CFNN
data1,50,11,178.71837902068737,4.784089165412639,0.77944875,CFNN
data1,50,12,73.77996471459623,5.285329705163495,0.79368025,CFNN
data1,50,13,76.51990284702981,5.745687872695054,0.63649035,CFNN
data1,50,14,85.3510760556277,5.073470819839473,0.774961,CFNN
data1,50,15,65.59529699694114,4.407468797470526,0.71817243,CFNN
data1,50,16,71.8681312241343,5.712595150440835,0.68431896,CFNN
data1,50,17,69.80670278015864,6.16126040075024,0.5478701,CFNN
data1,50,18,64.14884443627149,5.964367668050247,0.74176085,CFNN
data1,50,19,66.57539443503785,5.906330473924693,0.4677467,CFNN
data1,50,20,102.44947197765826,5.278840999527496,0.69530565,CFNN
data1,50,21,75.82927440998704,5.685040128969007,0.8424214,CFNN
data1,50,22,98.86822152362143,8.362495778258515,0.41569257,CFNN
data1,50,23,2308.761262994108,4.6622626081499465,0.9241487,CFNN
data1,50,24,76.91211357476296,5.091410475351827,0.7250254,CFNN
data1,50,25,194.3560405543175,6.664391509235201,0.91032755,CFNN
data1,50,26,114.05467931511171,6.619402040478926,0.6454996,CFNN
data1,50,27,1222.005740429721,6.532577808499752,0.44987553,CFNN
data1,50,28,62.30504883879496,5.323092918998782,0.9902281,CFNN
data1,50,29,61.91873085062778,5.718429007985499,0.79506123,CFNN
data1,50,30,88.57563556197616,6.11039211443314,0.5542071,CFNN
data1,50,31,249.01848829346602,6.34965148406788,0.7210937,CFNN
data1,50,32,66.43617347885558,6.442010247593852,0.62531614,CFNN
data1,50,33,63.38909487639148,6.284342114963163,0.579269,CFNN
data1,50,34,93.64989035044152,6.4136281446325505,0.53515965,CFNN
data1,50,35,91.10158822039091,7.56052531020774,0.6113882,CFNN
data1,50,36,82.61923173903213,6.635997804936544,0.4564337,CFNN
data1,50,37,72.49297462740103,6.802155397351114,0.8330036,CFNN
data1,50,38,79.52415577745961,7.785824126163026,0.34870863,CFNN
data1,50,39,61.21180083404793,6.414963392537807,0.5875292,CFNN
data1,50,40,74.78273322924446,7.375707607728131,0.633199,CFNN
data1,50,41,174.12299615546067,6.226684792786685,0.71286905,CFNN
data1,50,42,75.41087338721134,7.517485646522466,0.579622,CFNN
data1,50,43,56.511635783959576,5.3610686769810405,0.90651464,CFNN
data1,50,44,78.56010691076096,7.010178695052242,0.66920567,CFNN
data1,50,45,86.66665137115616,6.561368121498136,0.57964367,CFNN
data1,50,46,94.59383705334798,6.690801967150246,0.34214061,CFNN
data1,50,47,169.28191374627255,7.777598021840982,0.45031366,CFNN
data1,50,48,79.0965496411856,7.020839005614278,0.6255161,CFNN
data1,50,49,73.70368799799995,5.756435374039579,0.67870873,CFNN
data1,50,50,72.0561279690303,5.858866128874838,0.6828202,CFNN
