Data_Type,Sample_Size,Iteration,RMSE,MAPE,Causal_Effect
data1,50,1,4.643173532754637,100.62748324894156,3.1564014564845486
data1,50,2,4.660778481745143,67.5552871820378,2.97837477996502
data1,50,3,4.4036558704544895,60.612573217203334,3.0293509425907414
data1,50,4,5.051791310685765,60.275459773331455,3.3222635689716125
data1,50,5,5.117468878432785,60.826943500270545,3.396008600097114
data1,50,6,5.094897494624732,89.75837676551599,3.2818665874809994
data1,50,7,5.104100182516578,60.38321774415311,3.38069857864178
data1,50,8,4.550816416493204,52.16200675800155,3.3163803332742336
data1,50,9,4.436347300549898,77.102677436692,3.0190982609939523
data1,50,10,5.137107422173718,76.3920708503327,3.297359228734104
data1,50,11,4.611516683831034,68.93699190118055,3.193789026496517
data1,50,12,5.149683987486125,73.57642400229768,2.879086110389131
data1,50,13,4.522287352814103,70.36549200377081,3.160213906264211
data1,50,14,3.8935751298763988,83.13877411485883,2.7967709934235936
data1,50,15,5.208118658269292,60.28663065248131,3.4981963307029567
data1,50,16,4.604588650676503,57.01163171871332,3.0776559041571696
data1,50,17,4.460963650529869,118.93474113430558,3.319759254982287
data1,50,18,4.536114666385789,63.81429604983393,2.9799485298613204
data1,50,19,5.025331032949586,78.2774225399967,3.4281668990292515
data1,50,20,5.083259045244259,98.14524887666562,3.259035988096851
data1,50,21,3.5986086768470096,66.6556830261141,2.5753155640515866
data1,50,22,4.38064267683781,51.57867467379613,2.9594120561014634
data1,50,23,5.060481777823999,123.37791870761721,3.207461862277964
data1,50,24,4.697513211101736,92.99253378409699,3.3237333082441864
data1,50,25,4.4200833830855935,100.09212423250912,3.3389053141367717
data1,50,26,5.3148708250375725,72.06315910729693,3.430652639243218
data1,50,27,5.168354640382827,95.9831823874053,3.080171769187804
data1,50,28,4.740743651107196,49.09573431092477,3.269128544407574
data1,50,29,5.038678715695197,100.1984145820357,3.3072508800535485
data1,50,30,4.134023522135853,117.09290916633283,3.0583058719120473
data1,50,31,4.808202691182613,63.42403107747282,3.1503832537476435
data1,50,32,3.889228532234894,69.87077050287883,2.687445049514048
data1,50,33,4.666954678680465,82.93316585650423,3.191182074722553
data1,50,34,4.726484635245518,143.56404629669456,3.1169179380937337
data1,50,35,4.654882285149689,59.878957190234736,3.205801552165578
data1,50,36,4.46187762656667,79.59580067517895,3.258134747945065
data1,50,37,4.841288279449912,211.12353358112662,3.2057809904917502
data1,50,38,4.463531443005812,60.88098794040674,2.9945964234085225
data1,50,39,4.685291297748349,54.706264077525425,3.0989325841868376
data1,50,40,4.527987491391512,82.09572542076367,3.307002217797773
data1,50,41,4.340785529774157,72.4541889192854,2.8284157717316907
data1,50,42,3.772547437718087,104.28828351476005,2.9486403621543267
data1,50,43,5.372769399994517,66.99372811137039,3.4094571634471484
data1,50,44,4.61781803824371,201.13310712306233,3.078192282726233
data1,50,45,3.9187107776919827,94.21119383451652,3.143089005175937
data1,50,46,5.002574148879085,78.86099346540205,3.151016435153392
data1,50,47,5.102859388235514,56.3672187381567,3.257195938221165
data1,50,48,4.174734675476629,52.471641311263554,2.9107267410398348
data1,50,49,4.37352791960038,63.581195777176134,3.0956379513438312
data1,50,50,4.6869920255851705,77.83028438894148,3.3068374190430987
data1,50,51,4.468190257513536,118.42290102373335,3.079701255325097
data1,50,52,4.766297287640306,164.87472077043225,3.3097305858111965
data1,50,53,4.811351797412332,50.99548387226469,3.164713762481108
